,GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),Numeric,Value
1,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2013,SEX,SEX_MLE,7.81239,7.8 [7.1-8.5]
2,SDGSUICIDE,Crude suicide rates (per 100 000 population),2019,SEX,SEX_BTSX,16.26,16.3
3,SDGSUICIDE,Crude suicide rates (per 100 000 population),2017,SEX,SEX_BTSX,12.0383,12.0 [8.9-14.8]
4,MORT_200,Deaths per 1 000 live births,2002,AGEGROUP,AGEGROUP_DAYS0-27,5.91688,5.9
5,MORT_100,Number of deaths,2014,SEX,SEX_BTSX,23043.2584,23043.2584
6,MALARIA_SUSPECTS,Number of suspected malaria cases,2021,,,114400959.0,114 400 959
7,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,AGEGROUP,AGEGROUP_MONTHS1-59,0.0,0
8,FINPROTECTION_IMP_PRELPL_POP,"Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",2011,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,8.59,8.59
10,TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2020,,,80.0,80
11,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1992,AGEGROUP,AGEGROUP_MONTHS24-59,2.8,2.8 [2.4-3.3]
12,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2005,SEX,SEX_BTSX,3.44878,3.4 [3.1-3.8]
13,AIR_45,Ambient air pollution attributable YLLs,2019,SEX,SEX_MLE,1746258.136,1 746 258 [937 596-2 676 951]
14,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",1990,SEX,SEX_BTSX,41.4252,41.4 [39.6-43.3]
15,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2004,SEX,SEX_BTSX,1.23026,1.2 [1.0-1.4]
16,NCD_CCS_MultisecComm,"Existence of a national multisectoral commission, agency or mechanism for NCDs",2017,,,0.0,No
17,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",2012,SEX,SEX_MLE,8.25404,8.3 [4.2 - 12.2]
18,RSUD_590,Prevention programmes for specific populations for alcohol,2014,RSUDSPECIFICPOPULATION,RSUDSPECIFICPOPULATION_PEOPLE_WITH_TB,0.0,Yes
19,MORT_200,Deaths per 1 000 live births,2000,AGEGROUP,AGEGROUP_YEARS0-4,4.46137,4.5
20,NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2015,SEX,SEX_BTSX,4.77845,4.8 [4.5-5.1]
21,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2012,SEX,SEX_BTSX,26.85028,26.9 [25.8-27.9]
22,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2020,AGEGROUP,AGEGROUP_MONTHS0-5,24.4,24.4 [23.5-25.2]
23,RSUD_400,Main substance at treatment entry,2014,RSUDMAINSUBSTANCEATTREATMENT,RSUDMAINSUBSTANCEATTREATMENT_SECOND_MAIN,0.0,Opioids
24,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1996,SEX,SEX_FMLE,1.85585,1.9 [1.6-2.1]
25,WSH_SANITATION_OD,Population practising open defecation (%),2016,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,7.45223,7
26,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,AGEGROUP,AGEGROUP_YEARS0-4,0.00657,0
27,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2020,SEX,SEX_FMLE,36.6,36.6 [35.3-37.9]
28,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2017,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,25.9,25.9
30,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),2012,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,29.40585,29
31,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1998,SEX,SEX_BTSX,9.86879,9.9 [9.3-10.5]
32,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2019,SEX,SEX_BTSX,2.83062,2.8 [2.4-3.4]
33,O_Cytisine_sold,Cytisine - legally sold,2010,,,0.0,. . .
34,NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,2008,SEX,SEX_FMLE,49.86901,49.9 [42.2-57.1]
35,SA_0000001743,"Alcohol-attributable fractions, all-cause deaths (%)",2019,SEX,SEX_FMLE,1.95917,2.0 [1.4 - 2.9]
36,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2015,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_MIDDLE60,34.5,34.5 [34.1-34.9]
37,MORT_100,Number of deaths,2019,SEX,SEX_BTSX,24790.01428,24790.01428
38,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1976,SEX,SEX_MLE,126.55185,126.6 [120.9-132.5]
39,GHED_GGHE-DGDP_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),2009,,,0.89,0.89
40,HWF_0023,Traditional and Complementary Medicine Professionals  (number),2004,,,699351.0,699 351
41,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1983,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,0.0,0
42,GDO_q3x1x1_1,Implementation level [national/subnational] of dementia legislation,2017,,,0.0,Not applicable
43,M_Est_smk_curr_std,Estimate of current tobacco smoking prevalence (%) (age-standardized rate),2030,SEX,SEX_BTSX,4.3,4.3 [3.0-5.7]
44,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2006,AGEGROUP,AGEGROUP_MONTHS54-59,51.5,51.5 [49.3-53.7]
45,PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),2019,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,486.1248,486.12 [374.91 - 593.75]
46,MORT_200,Deaths per 1 000 live births,2017,AGEGROUP,AGEGROUP_MONTHS1-59,0.0,0
47,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),1969,SEX,SEX_BTSX,85.40786,85.4 [78.1-93.2]
48,GHED_GGHE-D_pc_US_SHA2011,Domestic general government health expenditure (GGHE-D) per capita in US$,2018,,,19.79,19.79
49,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),2009,SEX,SEX_FMLE,13.53622,13.5 [12.9-14.2]
50,MORT_300,Distribution of causes of death among children aged < 5 years (%),2017,AGEGROUP,AGEGROUP_MONTHS1-59,0.04247,0
51,MORT_200,Deaths per 1 000 live births,2017,AGEGROUP,AGEGROUP_YEARS0-4,0.94795,0.9
52,SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",2019,SEX,SEX_FMLE,9.33858,9.3
53,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2000,SEX,SEX_FMLE,1.94522,1.9 [1.6-2.4]
54,NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,2002,SEX,SEX_FMLE,52.90473,52.9 [44.3-60.7]
55,GDO_q8x5_3,Estimated number of people receiving psychosocial and rehabilitation services in community for dementia,2017,,,0.0,Not available
56,WHOSIS_000015,Life expectancy at age 60 (years),2007,SEX,SEX_FMLE,18.59796,18.6 [18.4-18.8]
57,NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",2010,SEX,SEX_MLE,1.0,1.0 [0.9-1.0]
58,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),2010,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,23.80188,24
59,SA_0000001751,"Alcohol, average daily intake in grams among drinkers, three-year average",2012,SEX,SEX_FMLE,16.81161,16.8 [8.3 - 25.7]
60,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2009,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,22.8,22.8 [13.1 - 34.2]
61,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2017,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,4.44608,4.45 [0 - 20.45]
62,MORT_100,Number of deaths,2008,SEX,SEX_BTSX,283998.12967,283998.12967
63,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2015,SEX,SEX_MLE,3.72817,3.7 [3.2-4.3]
64,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),2007,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,33.8835,34
65,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,AGEGROUP,AGEGROUP_DAYS0-27,0.00845,0
66,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2015,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP80,19.8,19.8 [19.4-20.1]
67,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2017,EDUCATIONLEVEL,EDUCATIONLEVEL_TOTL,4.9,4.9
68,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,AGEGROUP,AGEGROUP_YEARS0-4,0.01637,0
69,NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2018,SEX,SEX_FMLE,7.51704,7.5 [6.9-8.2]
70,W8_princ_langs_B,Are the health warnings on other smoked tobacco packaging written in the principal language(s) of the country?,2012,,,0.0,Yes
71,GDO_q8x3_1,"Accessibility of diagnostic services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",2017,,,0.0,Not applicable
72,GDO_q5x1x1_1,Identification of different sectors in dementia care coordination  (Health),2017,,,0.0,Yes
73,WSH_SANITATION_OD,Population practising open defecation (%),2017,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,34.16435,34
74,CM_01,Number of under-five deaths,1996,SEX,SEX_MLE,1465394.0,1 465 394 [1 410 371-1 523 090]
76,CM_02,Number of infant deaths,2010,SEX,SEX_BTSX,1236480.0,1 236 480 [1 180 641-1 298 482]
77,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2002,SEX,SEX_FMLE,0.47591,0.5 [0.3-0.6]
78,NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,SEVERITY,SEVERITY_TOTAL,54.0,54.0 [46.5-61.3]
79,WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2015,SEX,SEX_BTSX,3.22885,3.2 [3.1-3.4]
80,WHOSIS_000001,Life expectancy at birth (years),2018,SEX,SEX_MLE,68.87556,68.9 [68.4-69.5]
